dirty_unit	clean_unit
mmol/24 h	mmol/24h
mmol/24t	mmol/24h
mmol/D	mmol/24h
mmol/d	mmol/24h
mmol/day	mmol/24h
mmol/g Crea	mmol/g kreat
mmol/kg	mmol/kg
mmol/kg/24h	mmol/kg/24h
mmo/l	mmol/L
mmol/L	mmol/L
mmol/l	mmol/L
mmolL	mmol/L
mmol/ml	mmol/mL
mmol/mmol	mmol/mmol
mmol/mol	mmol/mol
MoM	MoM
mOsm/kg	mOsm/kg
mOsmol/kg	mOsm/kg
mosm/kg H2O	mOsm/kg H2O
Mosm/kgH2O	mOsm/kg H2O
mosm/kgH2O	mOsm/kg H2O
mosmol/kg H2O	mOsm/kg H2O
mU/L	mU/L
mU/l	mU/L
mu/l	mU/L
mU/mL	mU/mL
mU/ml	mU/mL
ng FEU/ml	ng FEU/mL
ngFEU/ml	ng FEU/mL
ng/dL	ng/dL
ng/dl	ng/dL
ng/L	ng/L
ng/l	ng/L
nanog/ml	ng/mL
ng/mL	ng/mL
ng/ml	ng/mL
ng/mL/h	ng/mL/h
ng/ml/h	ng/mL/h
nmol/24h	nmol/24h
nmol/d	nmol/24h
nmol/L	nmol/L
nmol/l	nmol/L
Normitud suhe	norm suhe
pg	pg
pg/mL	pg/mL
pg/ml	pg/mL
pH	pH
pmol/L	pmol/L
pmol/l	pmol/L
PMÜ/ml	PR/mL
PR/mL	PR/mL
PR/ml	PR/mL
r/uL	r/uL
rakku/µl	r/uL
rakku/uL	r/uL
rakku/ul	r/uL
r/vv	r/vv
rakku / vaateväli	r/vv
rakku vaateväljas	r/vv
rakku/vv	r/vv
s/vv	r/vv
RU	RU
RU/mL	RU/mL
RU/ml	RU/mL
S/CO	S/CO
s	sek
sek	sek
sek.	sek
Ratio	suhe
Suhe(Ratio)	suhe
suhtarv	suhtarv
tiiter	tiiter
U	U
U / L	U/L
U/I	U/L
U/L	U/L
U/l	U/L
u/L	U/L
u/l	U/L
u\l	U/L
ü/l	U/L
U/ mL	U/mL
U/mL	U/mL
U/ml	U/mL
u/ml	U/mL
U7ml	U/mL
µg/24h	ug/24h
µg/24t	ug/24h
mikrog/24h	ug/24h
mkg/24h	ug/24h
ug/24t	ug/24h
µg/dl	ug/dL
mikrg/dl	ug/dL
µg/g	ug/g
mikg/g	ug/g
mikrogr/gr	ug/g
ug/g	ug/g
µg/L	ug/L
µg/l	ug/L
mikg/L	ug/L
mikrg/L	ug/L
mikrog/l	ug/L
mikrogr./l	ug/L
mikrogr/l	ug/L
mkg/L	ug/L
mkg/l	ug/L
ug/L	ug/L
ug/l	ug/L
µg/mL	ug/mL
µg/ml	ug/mL
mikg/ml	ug/mL
mikrog/mL	ug/mL
mikrog/ml	ug/mL
mikrogr/ml	ug/mL
mkg/ml	ug/mL
ug/mL	ug/mL
ug/ml	ug/mL
µgE1/g stool	ugE1/g stool
ug E1/g faeces	ugE1/g stool
mikIU/l	uIU/L
µIU/ml	uIU/mL
mikrlU/ml	uIU/mL
mikroIU/ml	uIU/mL
uIU/ml	uIU/mL
µl	uL
µl/l	uL/L
mikrol/l	uL/L
ul/ml	uL/mL
um/d	um/24h
µmol/24h	umol/24h
mcmol/24h	umol/24h
umol/24 h	umol/24h
umol/24h	umol/24h
umol/d	umol/24h
µmol/L	umol/L
µmol/l	umol/L
µmol/l	umol/L
mikm/L	umol/L
mikmol/L	umol/L
mikmol/l	umol/L
mikrmol/l	umol/L
mikrmol/L	umol/L
mikromol/ l	umol/L
mikromol/L	umol/L
mikromol/l	umol/L
mkmol/L	umol/L
mkmol/l	umol/L
Umol/l	umol/L
umol/L	umol/L
umol/l	umol/L
urmol/l	umol/L
µU/ml	uU/mL
uU/ml	uU/mL
w/h	w/h
valku	valku
VE	VE
VIEU/ml	VIEU/mL
VMÜ/ mL	VMÜ/mL%
mahu%	vol%
Vol%	vol%
v/v	vv
vv	vv
µl	uL
°C	C
mL/min1,73m³ mL/min1,73m3
x10^9 l	10E9/L
x10^9/l	10E9/L


