,entity,label,count
154,"('Arnaud', 'Berdal')",PER,1
155,"('Berdal',)",PER,4
156,"('Marko', 'Uulits')",PER,1
157,"('Starmani',)",ORG,1
158,"('Henri', 'Treude')",PER,3
159,"('Treude',)",PER,3
160,"('Eurospordi', 'Ida-Euroopa')",ORG,1
161,"('Mladen', 'Singer')",PER,1
162,"('Singer',)",PER,1
163,"('Eurosport',)",ORG,1
164,"('Eurosport', 'News')",ORG,1
165,"('Berdali',)",PER,1
166,"('Singeri',)",PER,2
167,"('Eurosport', 'Berdali')",ORG,1
168,"('Mladen', 'Singeri')",PER,1
169,"('Eestist', 'Leedu')",LOC,1
170,"('Gallup', 'Media')",PER,1
171,"('Saksamaa',)",LOC,12
172,"('Saksamaa', 'Föderaalne', 'Statistikaamet')",ORG,1
173,"('ES', 'Turu-uuringute')",ORG,1
174,"('Äriteenus', '2000')",ORG,2
175,"('AS', 'Frens')",ORG,2
176,"('Frensi',)",PER,1
177,"('Frens',)",PER,1
178,"('Frensi',)",ORG,1
179,"('Uue', 'Liidu')",ORG,1
180,"('Leedu', 'Riigivarafond')",ORG,2
181,"('LISCO',)",LOC,1
182,"('Taani',)",LOC,6
183,"('DFDS', 'Tor', 'Line')",ORG,1
184,"('Vaclovas', 'Stankevicius')",PER,1
185,"('LISCO',)",ORG,1
186,"('Arturas', 'Paulauskas')",PER,1
187,"('Paulauskas',)",PER,1
188,"('LISCO',)",PER,1
189,"('Paulauskase',)",PER,1
190,"('Vytautas', 'Makauskas')",PER,1
191,"('Piret', 'Peensoo')",PER,4
192,"('Tallinna', 'linnavolikogus')",ORG,1
193,"('Ahti', 'Kallaste')",PER,1
194,"('Kallaste',)",PER,1
195,"('Arvi', 'Tapver')",PER,5
196,"('Tallinn-Tartu',)",LOC,4
197,"('AS-i', 'Sebe')",ORG,1
198,"('Taisto',)",PER,3
199,"('AS', 'Suure-Jaani', 'Buss')",ORG,3
200,"('Tallinnast',)",LOC,9
201,"('Tartu',)",LOC,31
202,"('Sebe',)",ORG,4
203,"('Pärnu',)",LOC,20
204,"('Kuressaarde',)",LOC,1
205,"('Haapsallu', 'jm.')",LOC,1
206,"('Teetöötajate', 'Ametiühingu')",ORG,1
207,"('Ain', 'Tatter')",PER,1
208,"('Eesti', 'Päevalehele')",ORG,3
209,"('Toivi', 'Leht')",PER,1
210,"('Suure-Jaani', 'Buss')",PER,1
211,"('Lietuvos', 'Avialinijos')",ORG,1
212,"('LAL',)",ORG,2
213,"('LAL-i',)",ORG,1
214,"('Gintaras', 'Striaukas')",PER,1
215,"('Kazimieras', 'Savinis')",PER,1
216,"('Läti', 'riikliku', 'energeetikafirma', 'Latvenergo')",ORG,1
