,Entity,LOC
0,Norra,139.0
1,Belgia,108.0
2,Holland,100.0
3,Ungari,98.0
4,Austria,96.0
5,Türgi,92.0
6,Kreeka,85.0
7,Jugoslaavia,83.0
8,Afganistan,83.0
9,Kanada,81.0
10,Iraan,71.0
11,Brasiilia,62.0
12,Gruusia,60.0
13,India,56.0
14,Rumeenia,52.0
15,Valgevene,51.0
16,Iirimaa,50.0
17,Pakistan,49.0
18,Tai,48.0
19,Sloveenia,47.0
