,Entity,LOC
0,Küpros,19.0
1,Argentina,18.0
2,Sudaan,17.0
3,Nigeeria,16.0
4,Liibüa,15.0
5,Kuveit,15.0
6,Ecuador,14.0
7,Somaalia,14.0
8,Egiptus,14.0
9,Põhja-Korea,14.0
10,Tšehhi,13.0
11,Peruu,13.0
12,Malta,12.0
13,Kõrgõzstan,11.0
14,Aserbaidžaan,10.0
15,Armeenia,10.0
16,Katar,10.0
17,Keenia,10.0
18,Moldova,10.0
19,Tšiili,8.0
