lemma,inflect_type,pos,case,form
Alexandra,1,H,sg n,Alexandra
Alexandra,1,H,sg g,Alexandra
algaja,1,S,sg n,algaja
algaja,1,S,sg g,algaja
algataja,1,S,sg n,algataja
algataja,1,S,sg g,algataja
algebra,1,S,sg n,algebra
algebra,1,S,sg g,algebra
alibi,1,S,sg n,alibi
alibi,1,S,sg g,alibi
alistaja,1,S,sg n,alistaja
alistaja,1,S,sg g,alistaja
alistamatu,1,A,sg n,alistamatu
alistamatu,1,A,sg g,alistamatu
alistuja,1,S,sg n,alistuja
alistuja,1,S,sg g,alistuja
alistumatu,1,A,sg n,alistumatu
alistumatu,1,A,sg g,alistumatu
alkeemia,1,S,sg n,alkeemia
alkeemia,1,S,sg g,alkeemia
alkoholomeetria,1,S,sg n,alkoholomeetria
alkoholomeetria,1,S,sg g,alkoholomeetria
allegooria,1,S,sg n,allegooria
allegooria,1,S,sg g,allegooria
allergia,1,S,sg n,allergia
allergia,1,S,sg g,allergia
allopaatia,1,S,sg n,allopaatia
allopaatia,1,S,sg g,allopaatia
alluja,1,S,sg n,alluja
alluja,1,S,sg g,alluja
allumatu,1,A,sg n,allumatu
allumatu,1,A,sg g,allumatu
Alžeeria,1,H,sg n,Alžeeria
Alžeeria,1,H,sg g,Alžeeria
Aluksne,1,H,sg n,Aluksne
Aluksne,1,H,sg g,Aluksne
alusetu,1,A,sg n,alusetu
alusetu,1,A,sg g,alusetu
alustaja,1,S,sg n,alustaja
alustaja,1,S,sg g,alustaja
Ambla,1,H,sg n,Ambla
Ambla,1,H,sg g,Ambla
ambra,1,S,sg n,ambra
ambra,1,S,sg g,ambra
ambroosia,1,S,sg n,ambroosia
ambroosia,1,S,sg g,ambroosia
Ameerika,1,H,sg n,Ameerika
Ameerika,1,H,sg g,Ameerika
amfora,1,S,sg n,amfora
amfora,1,S,sg g,amfora
ammendamatu,1,A,sg n,ammendamatu
ammendamatu,1,A,sg g,ammendamatu
ammuti,1,S,sg n,ammuti
ammuti,1,S,sg g,ammuti
amneesia,1,S,sg n,amneesia
amneesia,1,S,sg g,amneesia
amnestia,1,S,sg n,amnestia
amnestia,1,S,sg g,amnestia
analgeesia,1,S,sg n,analgeesia
analgeesia,1,S,sg g,analgeesia
analoogia,1,S,sg n,analoogia
analoogia,1,S,sg g,analoogia
analüütika,1,S,sg n,analüütika
analüütika,1,S,sg g,analüütika
Anapa,1,H,sg n,Anapa
Anapa,1,H,sg g,Anapa
anarhia,1,S,sg n,anarhia
anarhia,1,S,sg g,anarhia
anastaja,1,S,sg n,anastaja
anastaja,1,S,sg g,anastaja
Anastasia,1,H,sg n,Anastasia
Anastasia,1,H,sg g,Anastasia
Anastassia,1,H,sg n,Anastassia
Anastassia,1,H,sg g,Anastassia
anatoomia,1,S,sg n,anatoomia
anatoomia,1,S,sg g,anatoomia
Andaluusia,1,H,sg n,Andaluusia
Andaluusia,1,H,sg g,Andaluusia
andestamatu,1,A,sg n,andestamatu
andestamatu,1,A,sg g,andestamatu
andetu,1,A,sg n,andetu
andetu,1,A,sg g,andetu
andja,1,S,sg n,andja
andja,1,S,sg g,andja
Andorra,1,H,sg n,Andorra
Andorra,1,H,sg g,Andorra
Andre,1,H,sg n,Andre
Andre,1,H,sg g,Andre
Andrejeva,1,H,sg n,Andrejeva
Andrejeva,1,H,sg g,Andrejeva
andunu,1,S,sg n,andunu
andunu,1,S,sg g,andunu
aneemia,1,S,sg n,aneemia
aneemia,1,S,sg g,aneemia
anesteesia,1,S,sg n,anesteesia
anesteesia,1,S,sg g,anesteesia
anestesioloogia,1,S,sg n,anestesioloogia
anestesioloogia,1,S,sg g,anestesioloogia
Angela,1,H,sg n,Angela
Angela,1,H,sg g,Angela
anglistika,1,S,sg n,anglistika
anglistika,1,S,sg g,anglistika
anglomaania,1,S,sg n,anglomaania
anglomaania,1,S,sg g,anglomaania
Anija,1,H,sg n,Anija
Anija,1,H,sg g,Anija
anime,1,S,sg n,anime
anime,1,S,sg g,anime
Ankara,1,H,sg n,Ankara
Ankara,1,H,sg g,Ankara
annetaja,1,S,sg n,annetaja
annetaja,1,S,sg g,annetaja
anomaalia,1,S,sg n,anomaalia
anomaalia,1,S,sg g,anomaalia
anoreksia,1,S,sg n,anoreksia
anoreksia,1,S,sg g,anoreksia
Anžela,1,H,sg n,Anžela
Anžela,1,H,sg g,Anžela
Antarktika,1,H,sg n,Antarktika
Antarktika,1,H,sg g,Antarktika
Anthony,1,H,sg n,Anthony
Anthony,1,H,sg g,Anthony
Antigone,1,H,sg n,Antigone
Antigone,1,H,sg g,Antigone
Antigua,1,H,sg n,Antigua
Antigua,1,H,sg g,Antigua
antinoomia,1,S,sg n,antinoomia
antinoomia,1,S,sg g,antinoomia
antipaatia,1,S,sg n,antipaatia
antipaatia,1,S,sg g,antipaatia
antoloogia,1,S,sg n,antoloogia
antoloogia,1,S,sg g,antoloogia
Antonio,1,H,sg n,Antonio
Antonio,1,H,sg g,Antonio
antonüümia,1,S,sg n,antonüümia
antonüümia,1,S,sg g,antonüümia
antoonovka,1,S,sg n,antoonovka
antoonovka,1,S,sg g,antoonovka
antropofaagia,1,S,sg n,antropofaagia
antropofaagia,1,S,sg g,antropofaagia
antropogeenia,1,S,sg n,antropogeenia
antropogeenia,1,S,sg g,antropogeenia
antropoloogia,1,S,sg n,antropoloogia
antropoloogia,1,S,sg g,antropoloogia
antropomeetria,1,S,sg n,antropomeetria
antropomeetria,1,S,sg g,antropomeetria
antroponüümika,1,S,sg n,antroponüümika
antroponüümika,1,S,sg g,antroponüümika
antroposoofia,1,S,sg n,antroposoofia
antroposoofia,1,S,sg g,antroposoofia
Antsla,1,H,sg n,Antsla
Antsla,1,H,sg g,Antsla
Anttila,1,H,sg n,Anttila
Anttila,1,H,sg g,Anttila
apaatia,1,S,sg n,apaatia
apaatia,1,S,sg g,apaatia
