lemma,inflect_type,pos,case,form
pateetika,1,S,sg n,pateetika
pateetika,1,S,sg g,pateetika
patoloogia,1,S,sg n,patoloogia
patoloogia,1,S,sg g,patoloogia
patustaja,1,S,sg n,patustaja
patustaja,1,S,sg g,patustaja
paugutaja,1,S,sg n,paugutaja
paugutaja,1,S,sg g,paugutaja
pauguti,1,S,sg n,pauguti
pauguti,1,S,sg g,pauguti
Pavarotti,1,H,sg n,Pavarotti
Pavarotti,1,H,sg g,Pavarotti
Pavlova,1,H,sg n,Pavlova
Pavlova,1,H,sg g,Pavlova
pavlova,1,S,sg n,pavlova
pavlova,1,S,sg g,pavlova
peatu,1,A,sg n,peatu
peatu,1,A,sg g,peatu
peatumatu,1,A,sg n,peatumatu
peatumatu,1,A,sg g,peatumatu
pedagoogika,1,S,sg n,pedagoogika
pedagoogika,1,S,sg g,pedagoogika
Pedeli,1,H,sg n,Pedeli
Pedeli,1,H,sg g,Pedeli
pederastia,1,S,sg n,pederastia
pederastia,1,S,sg g,pederastia
Pedetsi,1,H,sg n,Pedetsi
Pedetsi,1,H,sg g,Pedetsi
pediaatria,1,S,sg n,pediaatria
pediaatria,1,S,sg g,pediaatria
pedofiilia,1,S,sg n,pedofiilia
pedofiilia,1,S,sg g,pedofiilia
pedoloogia,1,S,sg n,pedoloogia
pedoloogia,1,S,sg g,pedoloogia
peegeldaja,1,S,sg n,peegeldaja
peegeldaja,1,S,sg g,peegeldaja
peegeldi,1,S,sg n,peegeldi
peegeldi,1,S,sg g,peegeldi
peenesti,1,S,sg n,peenesti
peenesti,1,S,sg g,peenesti
peenutseja,1,S,sg n,peenutseja
peenutseja,1,S,sg g,peenutseja
Peetri,1,H,sg n,Peetri
Peetri,1,H,sg g,Peetri
peetu,1,S,sg n,peetu
peetu,1,S,sg g,peetu
pehme,1,A,sg n,pehme
pehme,1,A,sg g,pehme
pehmendi,1,S,sg n,pehmendi
pehmendi,1,S,sg g,pehmendi
Pekka,1,H,sg n,Pekka
Pekka,1,H,sg g,Pekka
peleti,1,S,sg n,peleti
peleti,1,S,sg g,peleti
penalti,1,S,sg n,penalti
penalti,1,S,sg g,penalti
Pennsylvania,1,H,sg n,Pennsylvania
Pennsylvania,1,H,sg g,Pennsylvania
perifeeria,1,S,sg n,perifeeria
perifeeria,1,S,sg g,perifeeria
perioodika,1,S,sg n,perioodika
perioodika,1,S,sg g,perioodika
peristaltika,1,S,sg n,peristaltika
peristaltika,1,S,sg g,peristaltika
personaalia,1,S,sg n,personaalia
personaalia,1,S,sg g,personaalia
perspektiivitu,1,A,sg n,perspektiivitu
perspektiivitu,1,A,sg g,perspektiivitu
pesija,1,S,sg n,pesija
pesija,1,S,sg g,pesija
pesula,1,S,sg n,pesula
pesula,1,S,sg g,pesula
Petra,1,H,sg n,Petra
Petra,1,H,sg g,Petra
Petseri,1,H,sg n,Petseri
Petseri,1,H,sg g,Petseri
pettunu,1,S,sg n,pettunu
pettunu,1,S,sg g,pettunu
petuunia,1,S,sg n,petuunia
petuunia,1,S,sg g,petuunia
Philadelphia,1,H,sg n,Philadelphia
Philadelphia,1,H,sg g,Philadelphia
pidaja,1,S,sg n,pidaja
pidaja,1,S,sg g,pidaja
pidamatu,1,A,sg n,pidamatu
pidamatu,1,A,sg g,pidamatu
pidetu,1,A,sg n,pidetu
pidetu,1,A,sg g,pidetu
pidurdamatu,1,A,sg n,pidurdamatu
pidurdamatu,1,A,sg g,pidurdamatu
Pihkva,1,H,sg n,Pihkva
Pihkva,1,H,sg g,Pihkva
Pihtla,1,H,sg n,Pihtla
Pihtla,1,H,sg g,Pihtla
pihusti,1,S,sg n,pihusti
pihusti,1,S,sg g,pihusti
Piigandi,1,H,sg n,Piigandi
Piigandi,1,H,sg g,Piigandi
piika,1,S,sg n,piika
piika,1,S,sg g,piika
piiluja,1,S,sg n,piiluja
piiluja,1,S,sg g,piiluja
piinaja,1,S,sg n,piinaja
piinaja,1,S,sg g,piinaja
piinia,1,S,sg n,piinia
piinia,1,S,sg g,piinia
piiramatu,1,A,sg n,piiramatu
piiramatu,1,A,sg g,piiramatu
piiritaja,1,S,sg n,piiritaja
piiritaja,1,S,sg g,piiritaja
piiritu,1,A,sg n,piiritu
piiritu,1,A,sg g,piiritu
piisamatu,1,A,sg n,piisamatu
piisamatu,1,A,sg g,piisamatu
pikolo,1,S,sg n,pikolo
pikolo,1,S,sg g,pikolo
pilaja,1,S,sg n,pilaja
pilaja,1,S,sg g,pilaja
pildistaja,1,S,sg n,pildistaja
pildistaja,1,S,sg g,pildistaja
pilkaja,1,S,sg n,pilkaja
pilkaja,1,S,sg g,pilkaja
pillaja,1,S,sg n,pillaja
pillaja,1,S,sg g,pillaja
pilvitu,1,A,sg n,pilvitu
pilvitu,1,A,sg g,pilvitu
pinguti,1,S,sg n,pinguti
pinguti,1,S,sg g,pinguti
pinnatu,1,A,sg n,pinnatu
pinnatu,1,A,sg g,pinnatu
piriseja,1,S,sg n,piriseja
piriseja,1,S,sg g,piriseja
Pirita,1,H,sg n,Pirita
Pirita,1,H,sg g,Pirita
pirtsutaja,1,S,sg n,pirtsutaja
pirtsutaja,1,S,sg g,pirtsutaja
pirukla,1,S,sg n,pirukla
pirukla,1,S,sg g,pirukla
piserdi,1,S,sg n,piserdi
piserdi,1,S,sg g,piserdi
pisku,1,S,sg n,pisku
pisku,1,S,sg g,pisku
pistaatsia,1,S,sg n,pistaatsia
pistaatsia,1,S,sg g,pistaatsia
plaanitsetu,1,S,sg n,plaanitsetu
plaanitsetu,1,S,sg g,plaanitsetu
plaanitu,1,A,sg n,plaanitu
plaanitu,1,A,sg g,plaanitu
plaatina,1,S,sg n,plaatina
plaatina,1,S,sg g,plaatina
plagieerija,1,S,sg n,plagieerija
plagieerija,1,S,sg g,plagieerija
plagisti,1,S,sg n,plagisti
plagisti,1,S,sg g,plagisti
planeeritu,1,S,sg n,planeeritu
planeeritu,1,S,sg g,planeeritu
planimeetria,1,S,sg n,planimeetria
planimeetria,1,S,sg g,planimeetria
plastika,1,S,sg n,plastika
plastika,1,S,sg g,plastika
pleegiti,1,S,sg n,pleegiti
pleegiti,1,S,sg g,pleegiti
plekitu,1,A,sg n,plekitu
plekitu,1,A,sg g,plekitu
plotski,1,S,sg n,plotski
plotski,1,S,sg g,plotski
pneumoonia,1,S,sg n,pneumoonia
pneumoonia,1,S,sg g,pneumoonia
poeesia,1,S,sg n,poeesia
poeesia,1,S,sg g,poeesia
poeetika,1,S,sg n,poeetika
poeetika,1,S,sg g,poeetika
poegija,1,S,sg n,poegija
poegija,1,S,sg g,poegija
poksija,1,S,sg n,poksija
poksija,1,S,sg g,poksija
poleemika,1,S,sg n,poleemika
poleemika,1,S,sg g,poleemika
poliitika,1,S,sg n,poliitika
poliitika,1,S,sg g,poliitika
politoloogia,1,S,sg n,politoloogia
politoloogia,1,S,sg g,politoloogia
polüdipsia,1,S,sg n,polüdipsia
polüdipsia,1,S,sg g,polüdipsia
polüfaagia,1,S,sg n,polüfaagia
polüfaagia,1,S,sg g,polüfaagia
polüfoonia,1,S,sg n,polüfoonia
polüfoonia,1,S,sg g,polüfoonia
polügaamia,1,S,sg n,polügaamia
polügaamia,1,S,sg g,polügaamia
polügeenia,1,S,sg n,polügeenia
polügeenia,1,S,sg g,polügeenia
polügüünia,1,S,sg n,polügüünia
polügüünia,1,S,sg g,polügüünia
Polüneesia,1,H,sg n,Polüneesia
Polüneesia,1,H,sg g,Polüneesia
polüteenia,1,S,sg n,polüteenia
polüteenia,1,S,sg g,polüteenia
pommitaja,1,S,sg n,pommitaja
pommitaja,1,S,sg g,pommitaja
pomoloogia,1,S,sg n,pomoloogia
pomoloogia,1,S,sg g,pomoloogia
poodu,1,S,sg n,poodu
poodu,1,S,sg g,poodu
pooldaja,1,S,sg n,pooldaja
pooldaja,1,S,sg g,pooldaja
poosetaja,1,S,sg n,poosetaja
poosetaja,1,S,sg g,poosetaja
populaarsusetu,1,A,sg n,populaarsusetu
populaarsusetu,1,A,sg g,populaarsusetu
Porkuni,1,H,sg n,Porkuni
Porkuni,1,H,sg g,Porkuni
poseerija,1,S,sg n,poseerija
poseerija,1,S,sg g,poseerija
posija,1,S,sg n,posija
posija,1,S,sg g,posija
praalija,1,S,sg n,praalija
praalija,1,S,sg g,praalija
pragmaatika,1,S,sg n,pragmaatika
pragmaatika,1,S,sg g,pragmaatika
praktika,1,S,sg n,praktika
praktika,1,S,sg g,praktika
Prangli,1,H,sg n,Prangli
Prangli,1,H,sg g,Prangli
preambula,1,S,sg n,preambula
preambula,1,S,sg g,preambula
preemia,1,S,sg n,preemia
preemia,1,S,sg g,preemia
preeria,1,S,sg n,preeria
preeria,1,S,sg g,preeria
pretensioonitu,1,A,sg n,pretensioonitu
pretensioonitu,1,A,sg g,pretensioonitu
Pretoria,1,H,sg n,Pretoria
Pretoria,1,H,sg g,Pretoria
pretsedenditu,1,A,sg n,pretsedenditu
pretsedenditu,1,A,sg g,pretsedenditu
priimula,1,S,sg n,priimula
priimula,1,S,sg g,priimula
priiskaja,1,S,sg n,priiskaja
priiskaja,1,S,sg g,priiskaja
printsiibitu,1,A,sg n,printsiibitu
printsiibitu,1,A,sg g,printsiibitu
priske,1,A,sg n,priske
priske,1,A,sg g,priske
problemaatika,1,S,sg n,problemaatika
problemaatika,1,S,sg g,problemaatika
profülaktika,1,S,sg n,profülaktika
profülaktika,1,S,sg g,profülaktika
prognoosimatu,1,A,sg n,prognoosimatu
prognoosimatu,1,A,sg g,prognoosimatu
prognostika,1,S,sg n,prognostika
prognostika,1,S,sg g,prognostika
propageerija,1,S,sg n,propageerija
propageerija,1,S,sg g,propageerija
propedeutika,1,S,sg n,propedeutika
propedeutika,1,S,sg g,propedeutika
prosoodia,1,S,sg n,prosoodia
prosoodia,1,S,sg g,prosoodia
prostata,1,S,sg n,prostata
prostata,1,S,sg g,prostata
proterogüünia,1,S,sg n,proterogüünia
proterogüünia,1,S,sg g,proterogüünia
protestija,1,S,sg n,protestija
protestija,1,S,sg g,protestija
protežeerija,1,S,sg n,protežeerija
protežeerija,1,S,sg g,protežeerija
protsentomaania,1,S,sg n,protsentomaania
protsentomaania,1,S,sg g,protsentomaania
protsessija,1,S,sg n,protsessija
protsessija,1,S,sg g,protsessija
pruukija,1,S,sg n,pruukija
pruukija,1,S,sg g,pruukija
prügila,1,S,sg n,prügila
prügila,1,S,sg g,prügila
psühhiaatria,1,S,sg n,psühhiaatria
psühhiaatria,1,S,sg g,psühhiaatria
psühholoogia,1,S,sg n,psühholoogia
psühholoogia,1,S,sg g,psühholoogia
psühhomeetria,1,S,sg n,psühhomeetria
psühhomeetria,1,S,sg g,psühhomeetria
psühhopaatia,1,S,sg n,psühhopaatia
psühhopaatia,1,S,sg g,psühhopaatia
psüühika,1,S,sg n,psüühika
psüühika,1,S,sg g,psüühika
Publica,1,H,sg n,Publica
Publica,1,H,sg g,Publica
publitsistika,1,S,sg n,publitsistika
publitsistika,1,S,sg g,publitsistika
pudistaja,1,S,sg n,pudistaja
pudistaja,1,S,sg g,pudistaja
pudrusti,1,S,sg n,pudrusti
pudrusti,1,S,sg g,pudrusti
pugeja,1,S,sg n,pugeja
pugeja,1,S,sg g,pugeja
puhasti,1,S,sg n,puhasti
puhasti,1,S,sg g,puhasti
Puhatu,1,H,sg n,Puhatu
Puhatu,1,H,sg g,Puhatu
puhkaja,1,S,sg n,puhkaja
puhkaja,1,S,sg g,puhkaja
puhtusetu,1,A,sg n,puhtusetu
puhtusetu,1,A,sg g,puhtusetu
puistu,1,S,sg n,puistu
puistu,1,S,sg g,puistu
pukski,1,S,sg n,pukski
pukski,1,S,sg g,pukski
pukski,1,S,sg g,puksi
pukski,1,S,sg p,puksi
pukski,1,S,sg ill,puksi
pukski,1,S,sg g,puksu
pukski,1,S,sg p,puksu
pukski,1,S,sg ill,puksu
pumpla,1,S,sg n,pumpla
pumpla,1,S,sg g,pumpla
punkerdaja,1,S,sg n,punkerdaja
punkerdaja,1,S,sg g,punkerdaja
purjutaja,1,S,sg n,purjutaja
purjutaja,1,S,sg g,purjutaja
purtsutaja,1,S,sg n,purtsutaja
purtsutaja,1,S,sg g,purtsutaja
purustaja,1,S,sg n,purustaja
purustaja,1,S,sg g,purustaja
purusti,1,S,sg n,purusti
purusti,1,S,sg g,purusti
puškiinia,1,S,sg n,puškiinia
puškiinia,1,S,sg g,puškiinia
puuduja,1,S,sg n,puuduja
puuduja,1,S,sg g,puuduja
Puurmani,1,H,sg n,Puurmani
Puurmani,1,H,sg g,Puurmani
puutuja,1,S,sg n,puutuja
puutuja,1,S,sg g,puutuja
puutumatu,1,A,sg n,puutumatu
puutumatu,1,A,sg g,puutumatu
põdeja,1,S,sg n,põdeja
põdeja,1,S,sg g,põdeja
Põdrala,1,H,sg n,Põdrala
Põdrala,1,H,sg g,Põdrala
põetaja,1,S,sg n,põetaja
põetaja,1,S,sg g,põetaja
põgeneja,1,S,sg n,põgeneja
põgeneja,1,S,sg g,põgeneja
põhjala,1,S,sg n,põhjala
põhjala,1,S,sg g,põhjala
põhjatu,1,A,sg n,põhjatu
põhjatu,1,A,sg g,põhjatu
põhjendamatu,1,A,sg n,põhjendamatu
põhjendamatu,1,A,sg g,põhjendamatu
põhjusetu,1,A,sg n,põhjusetu
põhjusetu,1,A,sg g,põhjusetu
põhjustaja,1,S,sg n,põhjustaja
põhjustaja,1,S,sg g,põhjustaja
põlematu,1,A,sg n,põlematu
põlematu,1,A,sg g,põlematu
põlenu,1,S,sg n,põlenu
põlenu,1,S,sg g,põlenu
põletaja,1,S,sg n,põletaja
põletaja,1,S,sg g,põletaja
põleti,1,S,sg n,põleti
põleti,1,S,sg g,põleti
Põlva,1,H,sg n,Põlva
Põlva,1,H,sg g,Põlva
Põlva,1,H,sg ill,Põlva
põrgu,1,S,sg n,põrgu
põrgu,1,S,sg g,põrgu
põrgu,1,S,sg ill,põrgu
põristi,1,S,sg n,põristi
põristi,1,S,sg g,põristi
põrunu,1,S,sg n,põrunu
põrunu,1,S,sg g,põrunu
pälvimatu,1,A,sg n,pälvimatu
pälvimatu,1,A,sg g,pälvimatu
päratu,1,A,sg n,päratu
päratu,1,A,sg g,päratu
pärija,1,S,sg n,pärija
pärija,1,S,sg g,pärija
päritu,1,S,sg n,päritu
päritu,1,S,sg g,päritu
Pärnu,1,H,sg n,Pärnu
Pärnu,1,H,sg g,Pärnu
Pärnu,1,H,sg ill,Pärnu
Pärsia,1,H,sg n,Pärsia
Pärsia,1,H,sg g,Pärsia
pääsenu,1,S,sg n,pääsenu
pääsenu,1,S,sg g,pääsenu
pääsla,1,S,sg n,pääsla
pääsla,1,S,sg g,pääsla
pääsmatu,1,A,sg n,pääsmatu
pääsmatu,1,A,sg g,pääsmatu
päästetu,1,S,sg n,päästetu
päästetu,1,S,sg g,päästetu
päästja,1,S,sg n,päästja
päästja,1,S,sg g,päästja
päästmatu,1,A,sg n,päästmatu
päästmatu,1,A,sg g,päästmatu
Pöide,1,H,sg n,Pöide
Pöide,1,H,sg g,Pöide
Pöide,1,H,sg ill,Pöide
pöördumatu,1,A,sg n,pöördumatu
pöördumatu,1,A,sg g,pöördumatu
püeemia,1,S,sg n,püeemia
püeemia,1,S,sg g,püeemia
pügaja,1,S,sg n,pügaja
pügaja,1,S,sg g,pügaja
pühamu,1,S,sg n,pühamu
pühamu,1,S,sg g,pühamu
pühendamatu,1,A,sg n,pühendamatu
pühendamatu,1,A,sg g,pühendamatu
pühendatu,1,S,sg n,pühendatu
pühendatu,1,S,sg g,pühendatu
püksatu,1,A,sg n,püksatu
püksatu,1,A,sg g,püksatu
pürgija,1,S,sg n,pürgija
pürgija,1,S,sg g,pürgija
püsimatu,1,A,sg n,püsimatu
püsimatu,1,A,sg g,püsimatu
püsitu,1,A,sg n,püsitu
püsitu,1,A,sg g,püsitu
püüdja,1,S,sg n,püüdja
püüdja,1,S,sg g,püüdja
püüdmatu,1,A,sg n,püüdmatu
püüdmatu,1,A,sg g,püüdmatu
püütia,1,S,sg n,püütia
püütia,1,S,sg g,püütia
raadio,1,S,sg n,raadio
raadio,1,S,sg g,raadio
Raasiku,1,H,sg n,Raasiku
Raasiku,1,H,sg g,Raasiku
raatsimatu,1,A,sg n,raatsimatu
raatsimatu,1,A,sg g,raatsimatu
rabaja,1,S,sg n,rabaja
rabaja,1,S,sg g,rabaja
rabistaja,1,S,sg n,rabistaja
rabistaja,1,S,sg g,rabistaja
radioloogia,1,S,sg n,radioloogia
radioloogia,1,S,sg g,radioloogia
raffia,1,S,sg n,raffia
raffia,1,S,sg g,raffia
rafineeritu,1,S,sg n,rafineeritu
rafineeritu,1,S,sg g,rafineeritu
rahastaja,1,S,sg n,rahastaja
rahastaja,1,S,sg g,rahastaja
rahastu,1,S,sg n,rahastu
rahastu,1,S,sg g,rahastu
rahatu,1,A,sg n,rahatu
rahatu,1,A,sg g,rahatu
rahke,1,A,sg n,rahke
rahke,1,A,sg g,rahke
rahula,1,S,sg n,rahula
rahula,1,S,sg g,rahula
rahuldamatu,1,A,sg n,rahuldamatu
rahuldamatu,1,A,sg g,rahuldamatu
rahuldumatu,1,A,sg n,rahuldumatu
rahuldumatu,1,A,sg g,rahuldumatu
rahusti,1,S,sg n,rahusti
rahusti,1,S,sg g,rahusti
rahutu,1,A,sg n,rahutu
rahutu,1,A,sg g,rahutu
raiskaja,1,S,sg n,raiskaja
raiskaja,1,S,sg g,raiskaja
rajaja,1,S,sg n,rajaja
rajaja,1,S,sg g,rajaja
Rakke,1,H,sg n,Rakke
Rakke,1,H,sg g,Rakke
rambe,1,A,sg n,rambe
rambe,1,A,sg g,rambe
rammetu,1,A,sg n,rammetu
rammetu,1,A,sg g,rammetu
randla,1,S,sg n,randla
randla,1,S,sg g,randla
Randma,1,H,sg n,Randma
Randma,1,H,sg g,Randma
range,1,A,sg n,range
range,1,A,sg g,range
Rannapungerja,1,H,sg n,Rannapungerja
Rannapungerja,1,H,sg g,Rannapungerja
raotu,1,A,sg n,raotu
raotu,1,A,sg g,raotu
Rapla,1,H,sg n,Rapla
Rapla,1,H,sg g,Rapla
rapsoodia,1,S,sg n,rapsoodia
rapsoodia,1,S,sg g,rapsoodia
raputi,1,S,sg n,raputi
raputi,1,S,sg g,raputi
raske,1,A,sg n,raske
raske,1,A,sg g,raske
rassija,1,S,sg n,rassija
rassija,1,S,sg g,rassija
rasvatu,1,A,sg n,rasvatu
rasvatu,1,A,sg g,rasvatu
ratsionaliseerija,1,S,sg n,ratsionaliseerija
ratsionaliseerija,1,S,sg g,ratsionaliseerija
ratsutaja,1,S,sg n,ratsutaja
ratsutaja,1,S,sg g,ratsutaja
ratsuti,1,S,sg n,ratsuti
ratsuti,1,S,sg g,ratsuti
Raudna,1,H,sg n,Raudna
Raudna,1,H,sg g,Raudna
rauge,1,A,sg n,rauge
rauge,1,A,sg g,rauge
raugematu,1,A,sg n,raugematu
raugematu,1,A,sg g,raugematu
ravila,1,S,sg n,ravila
ravila,1,S,sg g,ravila
ravimatu,1,A,sg n,ravimatu
ravimatu,1,A,sg g,ravimatu
reaalia,1,S,sg n,reaalia
reaalia,1,S,sg g,reaalia
realiseerimatu,1,A,sg n,realiseerimatu
realiseerimatu,1,A,sg g,realiseerimatu
Realo,1,H,sg n,Realo
Realo,1,H,sg g,Realo
redutaja,1,S,sg n,redutaja
redutaja,1,S,sg g,redutaja
reede,1,S,sg n,reede
reede,1,S,sg g,reede
reetja,1,S,sg n,reetja
reetja,1,S,sg g,reetja
reformija,1,S,sg n,reformija
reformija,1,S,sg g,reformija
registreeritu,1,S,sg n,registreeritu
registreeritu,1,S,sg g,registreeritu
registreerunu,1,S,sg n,registreerunu
registreerunu,1,S,sg g,registreerunu
reguleerimatu,1,A,sg n,reguleerimatu
reguleerimatu,1,A,sg g,reguleerimatu
rehala,1,S,sg n,rehala
rehala,1,S,sg g,rehala
Rehema,1,H,sg n,Rehema
Rehema,1,H,sg g,Rehema
reisija,1,S,sg n,reisija
reisija,1,S,sg g,reisija
reliikvia,1,S,sg n,reliikvia
reliikvia,1,S,sg g,reliikvia
relvastamatu,1,A,sg n,relvastamatu
relvastamatu,1,A,sg g,relvastamatu
relvistu,1,S,sg n,relvistu
relvistu,1,S,sg g,relvistu
relvitu,1,A,sg n,relvitu
relvitu,1,A,sg g,relvitu
Remniku,1,H,sg n,Remniku
Remniku,1,H,sg g,Remniku
remontija,1,S,sg n,remontija
remontija,1,S,sg g,remontija
repatrieerunu,1,S,sg n,repatrieerunu
repatrieerunu,1,S,sg g,repatrieerunu
represseeritu,1,S,sg n,represseeritu
represseeritu,1,S,sg g,represseeritu
restaureerija,1,S,sg n,restaureerija
restaureerija,1,S,sg g,restaureerija
retoorika,1,S,sg n,retoorika
retoorika,1,S,sg g,retoorika
reumatoloogia,1,S,sg n,reumatoloogia
reumatoloogia,1,S,sg g,reumatoloogia
revideerija,1,S,sg n,revideerija
revideerija,1,S,sg g,revideerija
Ridala,1,H,sg n,Ridala
Ridala,1,H,sg g,Ridala
Riidaja,1,H,sg n,Riidaja
Riidaja,1,H,sg g,Riidaja
riimitu,1,A,sg n,riimitu
riimitu,1,A,sg g,riimitu
riisiko,1,S,sg n,riisiko
riisiko,1,S,sg g,riisiko
riisuja,1,S,sg n,riisuja
riisuja,1,S,sg g,riisuja
riivatu,1,A,sg n,riivatu
riivatu,1,A,sg g,riivatu
rikketu,1,A,sg n,rikketu
rikketu,1,A,sg g,rikketu
rikkuja,1,S,sg n,rikkuja
rikkuja,1,S,sg g,rikkuja
rikkumatu,1,A,sg n,rikkumatu
rikkumatu,1,A,sg g,rikkumatu
rinnutu,1,A,sg n,rinnutu
rinnutu,1,A,sg g,rinnutu
rippumatu,1,A,sg n,rippumatu
rippumatu,1,A,sg g,rippumatu
riputi,1,S,sg n,riputi
riputi,1,S,sg g,riputi
ristleja,1,S,sg n,ristleja
ristleja,1,S,sg g,ristleja
Ristna,1,H,sg n,Ristna
Ristna,1,H,sg g,Ristna
riukleja,1,S,sg n,riukleja
riukleja,1,S,sg g,riukleja
rivistatu,1,S,sg n,rivistatu
rivistatu,1,S,sg g,rivistatu
rivitu,1,A,sg n,rivitu
rivitu,1,A,sg g,rivitu
rjaženka,1,S,sg n,rjaženka
rjaženka,1,S,sg g,rjaženka
robiinia,1,S,sg n,robiinia
robiinia,1,S,sg g,robiinia
robootika,1,S,sg n,robootika
robootika,1,S,sg g,robootika
Rodeesia,1,H,sg n,Rodeesia
Rodeesia,1,H,sg g,Rodeesia
rodeo,1,S,sg n,rodeo
rodeo,1,S,sg g,rodeo
rohke,1,A,sg n,rohke
rohke,1,A,sg g,rohke
rohtla,1,S,sg n,rohtla
rohtla,1,S,sg g,rohtla
rohustu,1,S,sg n,rohustu
rohustu,1,S,sg g,rohustu
rohutu,1,A,sg n,rohutu
rohutu,1,A,sg g,rohutu
romanistika,1,S,sg n,romanistika
romanistika,1,S,sg g,romanistika
Romanova,1,H,sg n,Romanova
Romanova,1,H,sg g,Romanova
romantika,1,S,sg n,romantika
romantika,1,S,sg g,romantika
romula,1,S,sg n,romula
romula,1,S,sg g,romula
ronija,1,S,sg n,ronija
ronija,1,S,sg g,ronija
ronila,1,S,sg n,ronila
ronila,1,S,sg g,ronila
roomaja,1,S,sg n,roomaja
roomaja,1,S,sg g,roomaja
Roosna,1,H,sg n,Roosna
Roosna,1,H,sg g,Roosna
rootsutu,1,A,sg n,rootsutu
rootsutu,1,A,sg g,rootsutu
ropendaja,1,S,sg n,ropendaja
ropendaja,1,S,sg g,ropendaja
Ruila,1,H,sg n,Ruila
Ruila,1,H,sg g,Ruila
rukola,1,S,sg n,rukola
rukola,1,S,sg g,rukola
Rumeenia,1,H,sg n,Rumeenia
Rumeenia,1,H,sg g,Rumeenia
rupskid,1,S,sg n,rupski
rupskid,1,S,sg g,rupski
rupski,1,S,sg n,rupski
rupski,1,S,sg g,rupski
rupski,1,S,sg g,rupsi
rupski,1,S,sg p,rupsi
rupski,1,S,sg ill,rupsi
ruske,1,A,sg n,ruske
ruske,1,A,sg g,ruske
rustika,1,S,sg n,rustika
rustika,1,S,sg g,rustika
ruttamatu,1,A,sg n,ruttamatu
ruttamatu,1,A,sg g,ruttamatu
ruuge,1,A,sg n,ruuge
ruuge,1,A,sg g,ruuge
ruupia,1,S,sg n,ruupia
ruupia,1,S,sg g,ruupia
rõhuja,1,S,sg n,rõhuja
rõhuja,1,S,sg g,rõhuja
rõhutu,1,S,sg n,rõhutu
rõhutu,1,S,sg g,rõhutu
rõivistu,1,S,sg n,rõivistu
rõivistu,1,S,sg g,rõivistu
rõlge,1,A,sg n,rõlge
rõlge,1,A,sg g,rõlge
rõske,1,A,sg n,rõske
rõske,1,A,sg g,rõske
Rõuge,1,H,sg n,Rõuge
Rõuge,1,H,sg g,Rõuge
Rõuge,1,H,sg ill,Rõuge
rõugutaja,1,S,sg n,rõugutaja
rõugutaja,1,S,sg g,rõugutaja
rõvetseja,1,S,sg n,rõvetseja
rõvetseja,1,S,sg g,rõvetseja
rõvetu,1,A,sg n,rõvetu
rõvetu,1,A,sg g,rõvetu
rõõmutu,1,A,sg n,rõõmutu
rõõmutu,1,A,sg g,rõõmutu
räbusti,1,S,sg n,räbusti
räbusti,1,S,sg g,räbusti
räige,1,A,sg n,räige
räige,1,A,sg g,räige
rändaja,1,S,sg n,rändaja
rändaja,1,S,sg g,rändaja
Räpina,1,H,sg n,Räpina
Räpina,1,H,sg g,Räpina
Rävala,1,H,sg n,Rävala
Rävala,1,H,sg g,Rävala
rääkija,1,S,sg n,rääkija
rääkija,1,S,sg g,rääkija
röntgenoloogia,1,S,sg n,röntgenoloogia
röntgenoloogia,1,S,sg g,röntgenoloogia
röögatu,1,A,sg n,röögatu
röögatu,1,A,sg g,röögatu
röövija,1,S,sg n,röövija
röövija,1,S,sg g,röövija
rügaja,1,S,sg n,rügaja
rügaja,1,S,sg g,rügaja
rühitu,1,A,sg n,rühitu
rühitu,1,A,sg g,rühitu
rühmaja,1,S,sg n,rühmaja
rühmaja,1,S,sg g,rühmaja
ründaja,1,S,sg n,ründaja
ründaja,1,S,sg g,ründaja
rünnatu,1,S,sg n,rünnatu
rünnatu,1,S,sg g,rünnatu
rütmika,1,S,sg n,rütmika
rütmika,1,S,sg g,rütmika
rütmitu,1,A,sg n,rütmitu
rütmitu,1,A,sg g,rütmitu
rüvetamatu,1,A,sg n,rüvetamatu
rüvetamatu,1,A,sg g,rüvetamatu
saabuja,1,S,sg n,saabuja
saabuja,1,S,sg g,saabuja
saabunu,1,S,sg n,saabunu
saabunu,1,S,sg g,saabunu
saadu,1,S,sg n,saadu
saadu,1,S,sg g,saadu
saaja,1,S,sg n,saaja
saaja,1,S,sg g,saaja
Saaluse,1,H,sg n,Saaluse
Saaluse,1,H,sg g,Saaluse
saamatu,1,A,sg n,saamatu
saamatu,1,A,sg g,saamatu
saanu,1,S,sg n,saanu
saanu,1,S,sg g,saanu
Saarde,1,H,sg n,Saarde
Saarde,1,H,sg g,Saarde
Saarde,1,H,sg ill,Saarde
Saarna,1,H,sg n,Saarna
Saarna,1,H,sg g,Saarna
saatja,1,S,sg n,saatja
saatja,1,S,sg g,saatja
saavutamatu,1,A,sg n,saavutamatu
saavutamatu,1,A,sg g,saavutamatu
saavutatu,1,S,sg n,saavutatu
saavutatu,1,S,sg g,saavutatu
sabatu,1,A,sg n,sabatu
sabatu,1,A,sg g,sabatu
sadesti,1,S,sg n,sadesti
sadesti,1,S,sg g,sadesti
safari,1,S,sg n,safari
safari,1,S,sg g,safari
sahisti,1,S,sg n,sahisti
sahisti,1,S,sg g,sahisti
sahkerdaja,1,S,sg n,sahkerdaja
sahkerdaja,1,S,sg g,sahkerdaja
