_regex_pattern_,grammar_symbol,regex_type,value,_group_,_priority_
regex,string,string,string,callable,callable
"(STEMI|STENI)",DIAGNOSIS,diagnosis,STEMI,0,0
"([,. :;]([Ss]te[mn]i|STEM|STEN)[,. :;])",DIAGNOSIS,diagnosis,STEMI,0,0
"(NSTEMI?|nSTEMI?|nstemi?)",DIAGNOSIS,diagnosis,nstemi,0,0
"((non|NON|Non)\s*-?\s*(STEMI?|stemi?))",DIAGNOSIS,diagnosis,nstemi,0,0
"([Kk]oronaar[- ]*angioplastika|KORONAAR[- ]*ANGIOPLASTIKA|PTKA|[Pp]tka)",DIAGNOSIS,diagnosis,PTKA,0,0
"([Kk]oronarograafia|[Kk]oronaar[- ]*angiograafia|KORONAROGRAAFIA|KORONAAR[- ]*ANGIOGRAAFIA|SKG|[Ss]kg)",DIAGNOSIS,diagnosis,SKG,0,0
"(LBBB|lbbb|Lbbb)",DIAGNOSIS,diagnosis,LBBB,0,0
"([Tt]rombolüüs)[+;,.\)?!-\s]",DIAGNOSIS,diagnosis,trombolüüs,0,0
"([Aa]ortokoronaarne [šs]unt(eerimine)?|A[KC]Š|a[kc]š)",DIAGNOSIS,diagnosis,AKŠ,0,0
"(STENT|stent)",DIAGNOSIS,diagnosis,STENT,0,0
