source_value,source_concept_id,concept_id
B02AA02,21601036,1303425
B02AA03,21601037,19012200
B02AB01,21601039,19000729
B02AB02,21601040,1169352
B02BA01,21601045,19044727
B02BA02,21601046,19001579
B02BB01,21601048,19044986
B02BC05,21601053,19018407
B02BC06,21601054,1300673
B02BC07,21601055,19069049
B02BC08,21601056,19058549
B02BC09,21601057,1343916
B02BD01,21601061,19080406
B02BD02,21601062,1352213
B02BD03,21601063,19080406
B02BD04,21601064,1351935
B02BD05,21601065,44785020
B02BD07,21601067,19106100
B02BD10,40252939,44785885
B02BD13,45893470,44785022
B02BD30,21601070,1300673
B02BX01,21601072,19049350
B02BX02,21601073,19024535
B02BX04,21601075,19032407
B02BX05,21601076,19012346
B02BX06,1501777,793042
B03AA01,21601080,19000753
B03AA02,21601081,1595799
B03AA03,21601082,1396012
B03AA04,21601083,44506781
B03AA05,21601084,19061731
B03AA06,21601085,19096133
B03AA07,21601086,1396131
B03AA09,21601088,1391575
B03AA10,21601089,19054670
B03AB02,21601093,1395773
B03AB03,21601094,19001131
B03AB04,21601095,43533015
B03AB06,21601097,45776202
B03AD02,21601110,1595799
B03AD03,21601111,1396131
B03BA01,21601121,1308738
B03BA03,21601123,1377023
B03BA04,21601124,19048026
B03BA05,21601125,19009025
B03BB01,21601129,19111620
B03XA02,21601134,1304643
B03XA03,21601135,19015768
B03XA04,43534764,42709327
B05AA05,21601142,1352890
B05AA07,21601144,19077117
B05BB03,21601163,19006047
B05BC01,21601165,994058
B05BC02,21601166,906914
B05CA01,21601169,989301
B05CA02,21601170,1790812
B05CA03,21601171,920378
B05CA04,21601172,1036425
B05CA06,21601174,19008870
B05CA07,21601175,19128375
B05CA09,21601177,915981
B05CB01,21601180,967823
B05CB02,21601181,977968
B05CB03,21601182,967861
B05CB04,21601183,939506
B05CX01,21601186,1560524
B05CX02,21601187,970011
B05CX03,21601188,962398
B05CX04,21601189,994058
B05XA01,21601196,19049105
B05XA02,21601197,939506
B05XA03,21601198,967823
B05XA04,21601199,912362
B05XA05,21601200,19093848
B05XA07,21601202,19036781
B05XA08,21601203,19077884
B05XA09,21601204,939871
B05XA10,21601205,19071991
B05XA11,21601206,19092849
B05XA12,21601207,19044317
B05XA13,21601208,974140
B05XA15,21601210,19014213
B05XA17,21601212,19076414
B05XB02,21601217,42904285
B05XB03,21601218,19092377
B05XX02,21601221,19006047
B06AA03,21601229,19073699
B06AA04,21601230,19096710
B06AA07,21601231,906149
B06AA10,21601232,915841
B06AC02,40253604,40242044
B06AC03,40253605,40168938
C01AA01,21601241,19011193
C01AA02,21601242,19020949
C01AA03,21601243,19054998
C01AA04,21600233,19026180
C01AA05,21600234,1326303
C01AA06,21600235,19003522
C01AA07,21600236,19017074
C01AA08,21600237,19094483
C01AB01,21600241,19135808
C01AC01,21600244,19129640
C01BA01,21600250,1360421
C01BA02,21600251,1351461
C01BA03,21600252,1335606
C01BA05,21600254,19105879
C01BA08,21600255,19135792
C01BA13,1123815,19069075
C01BB01,21600260,989878
C01BB02,21600261,1307542
C01BB03,21600262,1351447
C01BB04,21600263,19006969
C01BC03,21600265,1353256
C01BC04,21600266,1354860
C01BC08,21600268,19051513
C01BD01,21600270,1309944
C01BD04,21600273,1362979
C01BD05,21600274,19050087
C01BD07,40253900,40163615
C01BG01,21600277,1344996
C01BG07,21600278,19045581
C01CA01,21600281,19050419
C01CA02,21600282,1183554
C01CA03,21600283,1321341
C01CA04,21600284,1337860
C01CA05,21600285,19015756
C01CA06,21600286,1135766
C01CA07,21600287,1337720
C01CA09,21600289,19003303
C01CA10,21600290,19005208
C01CA11,21600291,19002664
C01CA14,21600294,19056154
C01CA15,21600295,19103723
C01CA16,21600296,19113028
C01CA17,21600297,1308368
C01CA18,21600298,42899645
C01CA19,21600299,19095721
C01CA21,21600300,19058510
C01CA22,21600301,19086330
C01CA23,21600302,19015536
C01CA24,21600303,1343916
C01CA26,40253931,1143374
C01CA27,1588645,44814542
C01CE01,21600307,19017805
C01CE02,21600308,1368671
C01CE03,21600309,19063454
C01CX07,21600313,19043833
C01CX08,21600314,40173184
C01DA02,21600317,1361711
C01DA08,21600321,1383925
C01DA13,21600323,19045644
C01DB01,21600336,19096489
C01DX02,21600339,19051285
C01DX03,21600340,19129643
C01DX05,21600342,19063698
C01DX06,21600343,19113060
C01DX08,21600345,19068433
C01DX11,21600348,19009721
C01DX12,21600349,19009819
C01DX13,21600350,19057394
C01DX16,21600353,19014977
C01DX19,21600355,1338985
C01EA01,21600362,1381504
C01EB03,21600365,1178663
C01EB09,21600370,1351115
C01EB10,21600371,1309204
C01EB15,21600374,19005626
C01EB16,21600375,1177480
C01EB17,21600376,46234437
C01EB18,21600377,1337107
C01EB21,21600379,19090761
C02AA01,21600384,19062195
C02AA02,21600385,1362225
C02AA05,21600388,1387219
C02AA06,21600389,19055531
C02AB01,21600395,1305447
C02AC01,21600398,1398937
C02AC02,21600399,1344965
C02AC05,21600401,19011021
C02AC06,21600402,19115050
C02BA01,21600405,19005658
C02BB01,21600407,1394333
C02CA01,21600411,1350489
C02CA02,21600412,19078808
C02CA04,21600414,1363053
C02CA06,21600415,19101849
C02CC01,21600417,19022533
C02CC02,21600418,1366279
C02CC04,21600420,19011951
C02DA01,21600426,1523280
C02DB01,21600428,19026448
C02DB02,21600429,1373928
C02DC01,21600433,1309068
C02DD01,21600435,19020994
C02DG01,21600437,19093166
C02KB01,21600442,1401581
C02KC01,21600444,19027413
C02KD01,21600446,19085688
C02KX01,21600448,1321636
C02KX02,21600449,1337068
C02KX04,43534769,44507580
C02KX05,45893474,44506752
C03AA01,21601464,1316354
C03AA02,21601465,1376289
C03AA03,21601466,974166
C03AA04,21601467,992590
C03AA05,21601468,948787
C03AA06,21601469,904639
C03AA07,21601470,19010015
C03AA08,21601471,905273
C03AA09,21601472,19082886
C03BA02,21601491,19081320
C03BA03,21601492,19099181
