parameter_unit,parameter_unit_clean,loinc_unit,evidence
10^12/l,10E12/L,E12/L,manual_mapping
E6/L,E6/L,E6/L,elabor_tyhik
10^6/mikrol,10E6/uL,E6/L,manual_mapping
mm/h,mm/h,mm/h,elabor_tyhik
mg/l,mg/L,mg/L,elabor_tyhik
min,min,min,elabor_tyhik
ug/g,ug/g,ug/g,elabor_tyhik
mikm/L,umol/L,umol/L,elabor_tyhik
mU/l,mU/L,mU/L,elabor_tyhik
mS/cm,mS/cm,mS/cm,elabor_tyhik
mikromol/l,umol/L,umol/L,elabor_tyhik
/100 WBC,/100WBC,/100WBC,elabor_tyhik
%,%,%,elabor_tyhik
mg/24 h,mg/d,mg/d,elabor_tyhik
10e12/L,10E12/L,E12/L,manual_mapping
10^9/L,10E9/L,E9/L,manual_mapping
sek.,sek,S,manual_mapping
mosm/kgH2O,mOsm/kgH2O,mosm/kgH2O,elabor_tyhik
10*9 /L,10*9/L,E9/L,manual_mapping
10*9/l,10E9/L,E9/L,manual_mapping
10 9 /l,10E9/L,E9/L,manual_mapping
mg/dl,mg/dL,mg/dL,elabor_tyhik
x 10 9/L,10E9/L,E9/L,manual_mapping
10E9/l,10E9/L,E9/L,manual_mapping
100/WBC,/100WBC,/100WBC,elabor_tyhik
lU/ml,IU/mL,KIU/L,manual_mapping
nmol/l,nmol/L,nmol/L,elabor_tyhik
ü/l,U/L,U/L,elabor_tyhik
IU/ml,IU/mL,KIU/L,manual_mapping
mg/L,mg/L,mg/L,elabor_tyhik
/100WBC,/100WBC,/100WBC,elabor_tyhik
E12/L,E12/L,E12/L,elabor_tyhik
urmol/l,umol/L,umol/L,elabor_tyhik
g/mol,g/mol,g/mol,elabor_tyhik
mg/d,mg/d,mg/d,elabor_tyhik
mu/l,mU/L,mU/L,elabor_tyhik
mm/Hg,mmHg,mmHg,elabor_tyhik
mm/t,mm/h,mm/h,elabor_tyhik
ug/ml,ug/mL,MG/L,manual_mapping
mikroliitris,/uL,E6/L,manual_mapping
mahu%,vol%,Vol%,elabor_tyhik
mikg/ml,ug/mL,MG/L,manual_mapping
-,,,manual_mapping
10e9/L,10E9/L,E9/L,manual_mapping
graad C,C,C,elabor_tyhik
x10\6/l,10E6/L,E6/L,manual_mapping
x10^12/l,10E12/L,E12/L,manual_mapping
Vol%,vol%,Vol%,elabor_tyhik
/ul,/uL,E6/L,manual_mapping
ml,mL,mL,elabor_tyhik
g/l,g/L,g/L,elabor_tyhik
n/100 WBC,/100WBC,/100WBC,elabor_tyhik
x10E6/l,10E6/L,E6/L,manual_mapping
%(IS),%(IS),%(IS),elabor_tyhik
ng/L,ng/L,ng/L,elabor_tyhik
mkg/ml,ug/mL,MG/L,manual_mapping
/nL,/nL,E9/L,manual_mapping
pmol/l,pmol/L,pmol/L,elabor_tyhik
/µL,/uL,E6/L,manual_mapping
µmol/l,umol/L,umol/L,elabor_tyhik
10\9/l,10E9/L,E9/L,manual_mapping
mL/min/1.73m2,mL/min/1.73m2,mL/min/1.73m2,elabor_tyhik
ng/dL,ng/dL,ng/dL,elabor_tyhik
10 ^9 /L,10E9/L,E9/L,manual_mapping
ug/mL,ug/mL,MG/L,manual_mapping
mikmol/L,umol/L,umol/L,elabor_tyhik
µg/l,ug/L,ug/L,elabor_tyhik
sek,sek,S,manual_mapping
"mL/min/1,73m2",mL/min/1.73m2,mL/min/1.73m2,elabor_tyhik
mg/24t,mg/d,mg/d,elabor_tyhik
"ml/min/1,73m2",mL/min/1.73m2,mL/min/1.73m2,elabor_tyhik
g/5h,g/5h,g/5h,elabor_tyhik
iu/ml,IU/mL,KIU/L,manual_mapping
µg/24t,ug/d,ug/d,elabor_tyhik
10^9/l,10E9/L,E9/L,manual_mapping
mIU/l,mIU/L,MU/L,manual_mapping
µg/g,ug/g,ug/g,elabor_tyhik
U/mL,U/mL,KU/L,manual_mapping
/uL,/uL,E6/L,manual_mapping
µg/L,ug/L,ug/L,elabor_tyhik
mmol/l,mmol/L,mmol/L,elabor_tyhik
nmol/d,nmol/d,nmol/d,elabor_tyhik
mkmol/l,umol/L,umol/L,elabor_tyhik
u\l,U/L,U/L,elabor_tyhik
mlU/l,mIU/L,MU/L,manual_mapping
C,C,C,elabor_tyhik
kIU/L,kIU/L,KU/L,manual_mapping
mmol/D,mmol/d,mmol/d,elabor_tyhik
mg/mmol,mg/mmol,G/MOL,manual_mapping
mmHg,mmHg,mmHg,elabor_tyhik
10 9/l,10E9/L,E9/L,manual_mapping
mIU/L,mIU/L,MU/L,manual_mapping
x10\9/L,10E9/L,E9/L,manual_mapping
U,U,U,elabor_tyhik
*10E12/l,10E12/L,E12/L,manual_mapping
umol/24 h,umol/d,umol/d,elabor_tyhik
fl,fL,fL,elabor_tyhik
ug/L,ug/L,ug/L,elabor_tyhik
10x12/l,10E12/L,E12/L,manual_mapping
µmol/L,umol/L,umol/L,elabor_tyhik
g,g,g,elabor_tyhik
°C,C,C,elabor_tyhik
mkg/24h,ug/d,ug/d,elabor_tyhik
kU/l,kU/L,kU/L,elabor_tyhik
ng/dl,ng/dL,ng/dL,elabor_tyhik
koopiat/mL,copies/mL,copies/mL,elabor_tyhik
mg/dL,mg/dL,mg/dL,elabor_tyhik
mikrmol/L,umol/L,umol/L,elabor_tyhik
mmol/L,mmol/L,mmol/L,elabor_tyhik
*10E9/l,10E9/L,E9/L,manual_mapping
