component,analyte,property,system,time_aspect,scale,loinc_number_array,method_typ_array
Glucose,Gluc,SCnc,Ser/Plas,Pt,Qn,"{14749-6,14751-2,14752-0,14753-8,14754-6,14755-3,14756-1,14757-9,14758-7,14759-5,14761-1,14762-9,14763-7,14764-5,14765-2,14766-0,14767-8,14768-6,14769-4,14771-0,14995-5,14996-3,25663-6,25665-1,25666-9,25668-5,25669-3,25671-9,25672-7,25673-5,25674-3,25676-8,25677-6,25679-2,25680-0,30251-3,30252-1,30253-9,30263-8,30264-6,30265-3,30266-1,30267-9,32319-6,32320-4,32321-2,32322-0,32359-2,34056-2,34057-0,34058-8,34059-6,34060-4,40148-9,40149-7,40150-5,40151-3,40152-1,40153-9,40154-7,40155-4,40156-2,40157-0,40158-8,40159-6,40160-4,40161-2,40162-0,40163-8,40164-6,40165-3,40166-1,40167-9,40168-7,40169-5,40170-3,40171-1,40172-9,40173-7,40174-5,40175-2,40176-0,40177-8,40178-6,40179-4,40180-2,40181-0,40182-8,40183-6,40184-4,40185-1,40186-9,40187-7,40188-5,40189-3,40190-1,40191-9,40192-7,40193-5,40194-3,40195-0,40196-8,40197-6,40198-4,40199-2,40200-8,40201-6,40202-4,40203-2,40204-0,40205-7,40206-5,40207-3,40208-1,40209-9,40210-7,40211-5,40212-3,40213-1,40214-9,40215-6,40216-4,40217-2,40218-0,40219-8,40220-6,40221-4,40222-2,40276-8,40277-6,40278-4,40279-2,40280-0,40285-9,40286-7,40287-5,40294-1,40318-8,40319-6,40320-4,40321-2,40322-0,40323-8,40324-6,44919-9,45052-8,45053-6,45054-4,45055-1,45056-9,45298-7,45299-5,47583-0,47584-8,47585-5,47586-3,47587-1,47588-9,47589-7,47590-5,47591-3,47592-1,47593-9,47595-4,47622-6,47859-4,48109-3,51419-0,51426-5,51597-3,53093-1,53094-9,53474-3,53475-0,53476-8,53480-0,53481-8,53482-6,53483-4,53484-2,53485-9,53486-7,53487-5,54248-0,54249-8,54250-6,54251-4,54252-2,54253-0,54254-8,54255-5,54256-3,54257-1,54258-9,54259-7,54260-5,54261-3,54262-1,54263-9,54264-7,54265-4,54266-2,54267-0,54268-8,54269-6,54270-4,54271-2,54272-0,54273-8,54274-6,54275-3,54276-1,54277-9,54392-6,54393-4,54394-2,54395-9,54396-7,54397-5,54398-3,54399-1,54400-7,54401-5,54495-7,54496-5,54497-3,54498-1,54499-9,55351-1,55352-9,55381-8,55479-0,55480-8,55481-6,55482-4,55483-2,55484-0,55485-7,55486-5,55487-3,55492-3,55493-1,55494-9,55495-6,55496-4,55497-2,55498-0,55499-8,58506-7,58509-1,58513-3,58515-8,58517-4,58519-0,59157-8,59812-8,59814-4,59815-1,69941-3,69942-1,69943-9,69944-7,70208-4,72895-6,72896-4,72900-4,72901-2,72902-0,74084-5,75405-1,75637-9,77681-5}",{null}
Glycated hemoglobin,HbA1c,MFr,Bld,Pt,Qn,{null},{null}
Glycated hemoglobin,HbA1c,SFr,Bld,Pt,Qn,{null},{null}
Hematocrit,HCT,VFr,Bld,Pt,Qn,"{20570-8,31100-1,4544-3,4545-0,48703-3}","{Automated count,Estimated,Impedance,Spun,null}"
Hemoglobin,HGB,MCnc,Bld,Pt,Qn,"{15082-1,20509-6,31157-1,39533-5,40549-8,40550-6,41995-2,42243-6,46423-0,4683-9,48725-6,53857-9,55782-7,718-7,76139-5,76141-1,86912-3}","{Calculated,Electrophoresis,HPLC,Oximetry,null}"
"High-density lipoprotein, ""good cholesterol""",HDL,SCnc,fSP,Pt,Qn,{null},{null}
"High-density lipoprotein, ""good cholesterol""",HDL,SCnc,Ser/Plas,Pt,Qn,{null},{null}
Immunoglobulin,IG,NCnc,Bld,Pt,Qn,{null},{null}
Immunoglobulin,IG,NFr,Bld,Pt,Qn,{null},{null}
Immunoglobulin,IG,unknown,Bld,Pt,Qn,{null},{null}
