_token_,_type_
/mm,dose_quantity_unit
m/,dose_quantity_unit
kg/,dose_quantity_unit
Dsph/,dose_quantity_unit
ml/sek,dose_quantity_unit
W/min,dose_quantity_unit
µg/l,dose_quantity_unit
IU/näd,dose_quantity_unit
mcg/mg,dose_quantity_unit
l/sek,dose_quantity_unit
ug/ml,dose_quantity_unit
üh/ml,dose_quantity_unit
l/l,dose_quantity_unit
mkg/p,dose_quantity_unit
L/sek,dose_quantity_unit
m/L,dose_quantity_unit
µg/mL,dose_quantity_unit
g/g,dose_quantity_unit
mm/mV,dose_quantity_unit
mcg/a,dose_quantity_unit
tbl/L,dose_quantity_unit
ü/p,dose_quantity_unit
mg/min/kg,dose_quantity_unit
p/p,dose_quantity_unit
t/näd,dose_quantity_unit
X/min/,dose_quantity_unit
ml/mg,dose_quantity_unit
u/g,dose_quantity_unit
s/,dose_quantity_unit
dl/p,dose_quantity_unit
/X,dose_quantity_unit
mg/,dose_quantity_unit
p/a,dose_quantity_unit
u/ml,dose_quantity_unit
ng/mL/h,dose_quantity_unit
mg//ml,dose_quantity_unit
U//l,dose_quantity_unit
ml/min,dose_quantity_unit
/g,dose_quantity_unit
mcg/l,dose_quantity_unit
mIU/ml,dose_quantity_unit
TÜ/,dose_quantity_unit
kU/l,dose_quantity_unit
TÜ/ml,dose_quantity_unit
ug/kg/min,dose_quantity_unit
MG/p,dose_quantity_unit
µg/min,dose_quantity_unit
mcg/,dose_quantity_unit
tü/,dose_quantity_unit
l//min,dose_quantity_unit
ml/min/kg,dose_quantity_unit
W/cm,dose_quantity_unit
L/S,dose_quantity_unit
m/Hg,dose_quantity_unit
ml/l,dose_quantity_unit
g/kg,dose_quantity_unit
mc/d,dose_quantity_unit
µg/g,dose_quantity_unit
gr/,dose_quantity_unit
cm/m,dose_quantity_unit
mkg/näd,dose_quantity_unit
DSph/,dose_quantity_unit
D/,dose_quantity_unit
mmg/p,dose_quantity_unit
mg/nd,dose_quantity_unit
